Time,Names,Frame_idx,Bboxes,Emotion
45.44,"['Unknown']",1136,"[[0.357520512172154, 0.1671985141814701, 0.45343715803963797, 0.403713619898236]]","[['addiction', 'serious', 'danger', 'success', 'problem', 'happy']]"
45.64,"[]",1141,"[]","[]"
46.04,"[]",1151,"[]","[]"
46.24,"[]",1156,"[]","[]"
46.44,"[]",1161,"[]","[]"
46.64,"[]",1166,"[]","[]"
47.04,"[]",1176,"[]","[]"
47.24,"[]",1181,"[]","[]"
47.44,"[]",1186,"[]","[]"
47.64,"[]",1191,"[]","[]"
48.04,"[]",1201,"[]","[]"
48.24,"[]",1206,"[]","[]"
48.44,"['Unknown']",1211,"[[0.512948853628976, 0.09862024821932354, 0.6086906024387905, 0.36803941878061447]]","[['faith', 'mystery', 'death', 'glow', 'halloween', 'fantasy']]"
48.64,"['SALIM']",1216,"[[0.521822282246181, 0.30753362746465773, 0.6337359973362514, 0.5685507153707837]]","[['glow', 'faith', 'meditation', 'pray', 'praying', 'hope']]"
49.04,"['Đỗ Khánh Vân']",1226,"[[0.6401707785470145, 0.2615568675692119, 0.7151609148297992, 0.4327528514559307]]","[['glow', 'disease', 'fantasy', 'love', 'care', 'pain']]"
49.24,"['Unknown']",1231,"[[0.5760978290012905, 0.3423719254751054, 0.6362364632742745, 0.4800241258409288]]","[['glow', 'disease', 'fantasy', 'mystical', 'mysterious', 'care']]"
49.44,"[]",1236,"[]","[]"
49.64,"[]",1241,"[]","[]"
50.04,"[]",1251,"[]","[]"
50.24,"[]",1256,"[]","[]"
50.44,"[]",1261,"[]","[]"
50.64,"[]",1266,"[]","[]"
51.04,"[]",1276,"[]","[]"
51.24,"[]",1281,"[]","[]"
51.44,"['Unknown']",1286,"[[0.41381665638514925, 0.3603663368830605, 0.4919032028743199, 0.5267725142221602]]","[['criminal', 'danger', 'dangerous', 'addiction', 'fraud', 'mystery']]"
51.64,"['Phạm Khánh Hưng']",1291,"[[0.4446796349116734, 0.24058173951648532, 0.5685991559709821, 0.5332450866699219]]","[['glow', 'fantasy', 'mystical', 'addiction', 'fun', 'mysterious']]"
52.04,"['Unknown']",1301,"[[0.45696844373430523, 0.23439263540600974, 0.5860491480146136, 0.5485940357995411]]","[['criminal', 'danger', 'dangerous', 'addiction', 'mystery', 'murder']]"
52.24,"['Unknown']",1306,"[[0.4681272166115897, 0.23072021726578001, 0.5942436626979283, 0.5509306287008618]]","[['danger', 'criminal', 'addiction', 'dangerous', 'horror', 'addict']]"
52.44,"['Unknown']",1311,"[[0.45562686238970074, 0.16397470141214038, 0.5200230053492955, 0.30904782007610987]]","[['broken', 'addiction', 'disease', 'problem', 'care', 'success']]"
